iter	RMSE
0	0.8464426449
1	0.8286449577
2	0.811509919
3	0.7948756227
4	0.7790872225
5	0.7635956086
6	0.748296139
7	0.7338917453
8	0.7198253756
9	0.7057598786
10	0.6925907928
11	0.6797323107
12	0.6671214408
13	0.6551410972
14	0.6437523158
15	0.6323109771
16	0.6214054906
17	0.6111734882
18	0.6009439263
19	0.5911897099
20	0.5812320851
21	0.5719532698
22	0.5628855399
23	0.5540954118
24	0.5456020893
25	0.5371434905
26	0.5292758376
27	0.5221187388
28	0.5149546976
29	0.5080551677
30	0.50114155
31	0.4948076577
32	0.4884032431
33	0.4822740191
34	0.4763090866
35	0.4704645458
36	0.4647094627
37	0.459683835
38	0.4544251249
39	0.4495368737
40	0.444800047
41	0.4401996584
42	0.4359396389
43	0.4315699639
44	0.4276926012
45	0.4238663051
46	0.4200553818
47	0.4163495727
48	0.4128256181
49	0.4095276847
50	0.406163486
51	0.4028798925
52	0.3999231692
53	0.3971140597
54	0.3945083768
55	0.3917111244
56	0.3889872178
57	0.3863761899
58	0.3839418105
59	0.3814316477
60	0.379219695
61	0.3771495866
62	0.3750069149
63	0.3728914672
64	0.3709639014
65	0.3692076036
66	0.3672649757
67	0.365352378
68	0.3637181829
69	0.3620511516
70	0.3604604263
71	0.3587109943
72	0.3570411933
73	0.3555456663
74	0.3541098354
75	0.3527465561
76	0.3513520728
77	0.3501874357
78	0.3488202633
79	0.3476186801
80	0.3463863718
81	0.3453799259
82	0.3443381063
83	0.34320931
84	0.3422218084
85	0.3413243431
86	0.3404017047
87	0.3393817828
88	0.338472513
89	0.3376416835
90	0.3368327286
91	0.3359640829
92	0.3352303241
93	0.3344462526
94	0.3336877664
95	0.3327691618
96	0.3321086036
97	0.3314642462
98	0.3307888186
99	0.3301503048
100	0.3295149379
101	0.3289628127
102	0.3284509749
103	0.3278593297
104	0.3271401475
105	0.3266630154
106	0.3260533898
107	0.3254306817
108	0.3249230963
109	0.3244949515
110	0.3239149976
111	0.3234041014
112	0.3229127126
113	0.3224937513
114	0.3220069325
115	0.32143542
116	0.3210133899
117	0.3205097443
118	0.3201122035
119	0.3197372263
120	0.31924928
121	0.3188464435
122	0.3184313573
123	0.3180023231
124	0.3176328327
125	0.3172901382
126	0.3169331272
127	0.316617097
128	0.3161647358
129	0.3158472658
