iter	Passed	Remaining
0	12	18048
1	23	17834
2	32	16431
3	41	15572
4	50	14997
5	63	15871
6	71	15353
7	80	15033
8	89	14808
9	99	14854
10	109	14832
11	119	14809
12	129	14804
13	139	14756
14	149	14785
15	159	14773
16	169	14829
17	179	14795
18	189	14794
19	199	14748
20	209	14727
21	219	14752
22	229	14739
23	238	14696
24	248	14638
25	258	14657
26	266	14560
27	276	14534
28	285	14497
29	295	14458
30	305	14460
31	314	14428
32	323	14385
33	331	14307
34	340	14236
35	348	14189
36	358	14188
37	367	14155
38	377	14150
39	386	14103
40	394	14047
41	403	14016
42	412	13985
43	422	13974
44	430	13926
45	438	13872
46	447	13833
47	457	13827
48	466	13801
49	475	13792
50	484	13761
51	493	13745
52	502	13719
53	511	13707
54	520	13668
55	528	13633
56	537	13607
57	546	13598
58	557	13604
59	566	13595
60	575	13577
61	584	13564
62	593	13539
63	603	13535
64	613	13537
65	622	13526
66	631	13504
67	640	13490
68	649	13474
69	658	13454
70	666	13423
71	675	13402
72	684	13387
73	693	13364
74	702	13344
75	710	13315
76	719	13293
77	727	13265
78	736	13248
79	745	13239
80	756	13254
81	765	13237
82	774	13230
83	785	13233
84	793	13214
85	802	13198
86	811	13187
87	820	13168
88	829	13152
89	839	13144
90	847	13125
91	856	13114
92	866	13102
93	875	13095
94	884	13081
95	894	13075
96	903	13065
97	913	13064
98	922	13058
99	931	13044
100	940	13031
101	950	13023
102	959	13018
103	968	13006
104	978	12996
105	987	12990
106	997	12983
107	1007	12980
108	1016	12974
109	1025	12957
110	1034	12947
111	1044	12940
112	1052	12922
113	1061	12906
114	1071	12899
115	1080	12890
116	1089	12883
117	1098	12871
118	1107	12855
119	1117	12845
120	1126	12833
121	1135	12820
122	1144	12809
123	1153	12800
124	1162	12782
125	1172	12781
126	1181	12772
127	1190	12759
128	1199	12750
129	1208	12735
130	1217	12722
131	1226	12714
132	1235	12698
133	1244	12684
134	1253	12678
135	1263	12668
136	1271	12652
137	1280	12639
138	1290	12633
139	1300	12629
140	1309	12623
141	1319	12616
142	1328	12606
143	1337	12596
144	1346	12587
145	1355	12575
146	1364	12561
147	1373	12550
148	1383	12544
149	1392	12535
150	1403	12534
151	1412	12526
152	1421	12515
153	1430	12501
154	1439	12488
155	1448	12475
156	1457	12465
157	1466	12457
158	1475	12441
159	1484	12428
160	1493	12420
161	1502	12407
162	1511	12400
163	1521	12396
164	1530	12387
165	1540	12383
166	1550	12374
167	1559	12367
168	1568	12356
169	1578	12346
170	1588	12342
171	1597	12334
172	1606	12324
173	1616	12316
174	1625	12308
175	1634	12299
176	1643	12286
177	1652	12275
178	1661	12263
179	1670	12251
180	1679	12242
181	1689	12236
182	1699	12230
183	1708	12221
184	1717	12210
185	1727	12206
186	1736	12194
187	1745	12182
188	1755	12174
189	1763	12161
190	1773	12152
191	1782	12141
192	1791	12132
193	1800	12119
194	1809	12112
195	1819	12103
196	1827	12090
197	1837	12083
198	1846	12073
199	1856	12065
200	1864	12049
201	1873	12039
202	1883	12034
203	1893	12028
204	1904	12029
205	1913	12016
206	1921	12005
207	1931	11999
208	1941	11991
209	1950	11980
210	1959	11972
211	1968	11958
212	1977	11946
213	1986	11939
214	1996	11932
215	2007	11933
216	2016	11924
217	2026	11919
218	2035	11907
219	2044	11895
220	2053	11886
221	2062	11874
222	2071	11860
223	2081	11855
224	2090	11845
225	2100	11840
226	2109	11832
227	2118	11820
228	2127	11809
229	2136	11799
230	2145	11788
231	2154	11777
232	2164	11768
233	2173	11760
234	2183	11754
235	2192	11744
236	2202	11735
237	2211	11727
238	2221	11722
239	2231	11717
240	2241	11709
241	2251	11702
242	2260	11691
243	2269	11680
244	2278	11671
245	2287	11662
246	2296	11650
247	2305	11641
248	2314	11628
249	2323	11618
250	2333	11609
251	2342	11598
252	2351	11588
253	2361	11584
254	2370	11572
255	2379	11562
256	2389	11556
257	2397	11543
258	2406	11532
259	2416	11523
260	2425	11514
261	2434	11504
262	2444	11495
263	2453	11485
264	2462	11476
265	2472	11468
266	2481	11461
267	2491	11453
268	2499	11438
269	2508	11427
270	2518	11422
271	2528	11413
272	2538	11408
273	2547	11399
274	2556	11389
275	2565	11379
276	2575	11369
277	2584	11359
278	2593	11352
279	2601	11336
280	2611	11329
281	2620	11319
282	2629	11306
283	2638	11296
284	2648	11292
285	2657	11281
286	2666	11271
287	2676	11262
288	2685	11252
289	2694	11242
290	2703	11233
291	2712	11222
292	2722	11215
293	2731	11206
294	2741	11199
295	2751	11190
296	2760	11182
297	2770	11176
298	2780	11166
299	2789	11157
300	2798	11147
301	2807	11136
302	2816	11127
303	2826	11119
304	2836	11112
305	2846	11105
306	2855	11094
307	2864	11086
308	2874	11077
309	2882	11066
310	2892	11057
311	2901	11048
312	2910	11039
313	2920	11032
314	2930	11024
315	2939	11014
316	2948	11005
317	2958	10997
318	2969	10993
319	2980	10990
320	2990	10984
321	3000	10978
322	3010	10971
323	3020	10963
324	3030	10957
325	3040	10948
326	3050	10941
327	3060	10934
328	3069	10925
329	3079	10917
330	3088	10907
331	3097	10897
332	3106	10887
333	3117	10881
334	3126	10872
335	3136	10864
336	3145	10855
337	3154	10846
338	3164	10838
339	3173	10828
340	3183	10819
341	3192	10811
342	3201	10799
343	3211	10791
344	3221	10785
345	3231	10776
346	3240	10768
347	3250	10759
348	3260	10751
349	3269	10743
350	3278	10732
351	3287	10721
352	3296	10712
353	3305	10700
354	3314	10690
355	3324	10683
356	3333	10673
357	3343	10664
358	3352	10654
359	3361	10644
360	3370	10635
361	3380	10625
362	3399	10646
363	3408	10637
364	3419	10633
365	3428	10623
366	3437	10613
367	3447	10606
368	3457	10596
369	3467	10589
370	3476	10578
371	3485	10568
372	3494	10559
373	3503	10548
374	3514	10542
375	3523	10533
376	3534	10528
377	3543	10518
378	3552	10508
379	3561	10498
380	3570	10487
381	3579	10475
382	3588	10464
383	3597	10454
384	3606	10444
385	3616	10436
386	3625	10425
387	3634	10416
388	3644	10407
389	3653	10398
390	3662	10388
391	3671	10378
392	3680	10366
393	3689	10357
394	3699	10349
395	3715	10357
396	3725	10350
397	3734	10340
398	3744	10332
399	3754	10325
400	3763	10314
401	3773	10307
402	3782	10297
403	3791	10286
404	3800	10276
405	3810	10266
406	3819	10256
407	3828	10246
408	3837	10236
409	3846	10227
410	3857	10220
411	3867	10211
412	3876	10202
413	3884	10190
414	3894	10180
415	3903	10172
416	3913	10165
417	3923	10156
418	3933	10147
419	3942	10138
420	3952	10131
421	3961	10120
422	3970	10110
423	3980	10100
424	3989	10091
425	3999	10083
426	4009	10076
427	4020	10069
428	4029	10059
429	4039	10050
430	4048	10041
431	4057	10031
432	4067	10022
433	4076	10013
434	4086	10004
435	4095	9993
436	4104	9983
437	4113	9972
438	4122	9962
439	4130	9951
440	4141	9945
441	4151	9937
442	4161	9929
443	4171	9921
444	4180	9910
445	4189	9900
446	4198	9890
447	4208	9882
448	4218	9875
449	4228	9867
450	4239	9859
451	4248	9849
452	4258	9842
453	4267	9832
454	4276	9822
455	4286	9813
456	4296	9805
457	4305	9794
458	4314	9784
459	4322	9773
460	4332	9764
461	4342	9756
462	4351	9746
463	4361	9737
464	4370	9728
465	4380	9719
466	4390	9711
467	4399	9702
468	4408	9691
469	4418	9682
470	4427	9673
471	4437	9665
472	4448	9658
473	4458	9649
474	4467	9640
475	4476	9629
476	4486	9621
477	4495	9612
478	4504	9601
479	4513	9591
480	4522	9581
481	4532	9573
482	4541	9563
483	4552	9556
484	4561	9546
485	4570	9536
486	4580	9527
487	4589	9516
488	4598	9507
489	4607	9497
490	4616	9486
491	4625	9477
492	4635	9467
493	4644	9458
494	4654	9449
495	4664	9440
496	4673	9431
497	4682	9422
498	4693	9414
499	4702	9405
500	4712	9396
501	4722	9387
502	4731	9379
503	4740	9368
504	4750	9359
505	4759	9349
506	4768	9338
507	4776	9327
508	4786	9318
509	4795	9308
510	4804	9298
511	4813	9288
512	4822	9279
513	4832	9270
514	4842	9261
515	4850	9250
516	4860	9241
517	4869	9231
518	4879	9222
519	4888	9212
520	4897	9202
521	4906	9192
522	4915	9183
523	4925	9174
524	4936	9168
525	4946	9159
526	4956	9150
527	4965	9141
528	4974	9131
529	4983	9121
530	4993	9111
531	5002	9102
532	5012	9094
533	5022	9086
534	5031	9076
535	5040	9066
536	5050	9056
537	5059	9046
538	5068	9037
539	5079	9029
540	5088	9020
541	5098	9010
542	5107	9001
543	5116	8991
544	5125	8982
545	5135	8973
546	5145	8964
547	5154	8954
548	5165	8947
549	5175	8938
550	5184	8929
551	5193	8919
552	5202	8909
553	5212	8900
554	5222	8891
555	5232	8883
556	5242	8875
557	5252	8866
558	5262	8857
559	5271	8848
560	5281	8839
561	5291	8830
562	5299	8820
563	5309	8811
564	5318	8800
565	5327	8791
566	5336	8781
567	5346	8772
568	5355	8762
569	5365	8753
570	5374	8744
571	5384	8735
572	5394	8726
573	5402	8715
574	5411	8705
575	5420	8695
576	5429	8685
577	5438	8675
578	5447	8664
579	5455	8654
580	5464	8643
581	5473	8633
582	5482	8623
583	5491	8613
584	5500	8603
585	5509	8593
586	5518	8583
587	5528	8574
588	5537	8564
589	5545	8553
590	5554	8543
591	5564	8534
592	5573	8524
593	5582	8514
594	5591	8504
595	5600	8494
596	5609	8484
597	5618	8474
598	5628	8466
599	5637	8455
600	5646	8446
601	5656	8437
602	5666	8429
603	5676	8420
604	5685	8410
605	5694	8400
606	5703	8391
607	5714	8383
608	5723	8374
609	5733	8365
610	5743	8356
611	5753	8348
612	5763	8339
613	5773	8330
614	5782	8321
615	5792	8312
616	5801	8302
617	5811	8294
618	5821	8285
619	5830	8275
620	5840	8266
621	5849	8256
622	5860	8249
623	5869	8240
624	5880	8232
625	5889	8223
626	5899	8213
627	5909	8205
628	5918	8196
629	5928	8187
630	5937	8176
631	5946	8166
632	5955	8157
633	5964	8147
634	5973	8137
635	5983	8128
636	5992	8118
637	6002	8109
638	6010	8099
639	6019	8088
640	6029	8079
641	6039	8070
642	6048	8060
643	6056	8050
644	6066	8041
645	6076	8033
646	6086	8023
647	6094	8013
648	6104	8004
649	6114	7995
650	6123	7985
651	6132	7975
652	6140	7965
653	6150	7955
654	6159	7946
655	6168	7936
656	6177	7926
657	6186	7916
658	6195	7906
659	6204	7897
660	6215	7888
661	6223	7878
662	6232	7867
663	6241	7857
664	6250	7848
665	6259	7838
666	6268	7828
667	6277	7818
668	6287	7809
669	6297	7801
670	6306	7791
671	6315	7781
672	6325	7773
673	6334	7763
674	6343	7753
675	6353	7744
676	6362	7734
677	6371	7724
678	6380	7714
679	6389	7705
680	6399	7696
681	6408	7686
682	6417	7676
683	6426	7667
684	6435	7656
685	6444	7647
686	6453	7636
687	6461	7626
688	6470	7616
689	6480	7607
690	6490	7598
691	6499	7588
692	6508	7579
693	6517	7569
694	6526	7559
695	6536	7550
696	6545	7541
697	6555	7531
698	6563	7521
699	6572	7511
700	6581	7502
701	6591	7492
702	6600	7483
703	6609	7473
704	6619	7464
705	6628	7455
706	6637	7445
707	6646	7435
708	6655	7425
709	6665	7416
710	6675	7407
711	6684	7397
712	6694	7389
713	6704	7380
714	6714	7371
715	6723	7361
716	6732	7352
717	6741	7342
718	6751	7333
719	6761	7325
720	6769	7314
721	6779	7305
722	6788	7295
723	6798	7287
724	6808	7277
725	6817	7268
726	6826	7258
727	6837	7250
728	6846	7241
729	6856	7231
730	6865	7221
731	6874	7212
732	6884	7203
733	6894	7194
734	6903	7185
735	6912	7175
736	6921	7165
737	6930	7155
738	6939	7146
739	6948	7136
740	6958	7127
741	6966	7116
742	6975	7106
743	6984	7097
744	6993	7087
745	7002	7078
746	7013	7070
747	7022	7060
748	7032	7050
749	7041	7041
750	7050	7032
751	7060	7022
752	7069	7012
753	7078	7003
754	7088	6994
755	7097	6984
756	7106	6975
757	7116	6966
758	7126	6957
759	7136	6948
760	7145	6938
761	7153	6928
762	7163	6919
763	7172	6909
764	7181	6900
765	7191	6891
766	7201	6882
767	7211	6873
768	7220	6864
769	7230	6855
770	7240	6846
771	7250	6837
772	7260	6828
773	7269	6818
774	7279	6810
775	7289	6801
776	7299	6791
777	7307	6781
778	7316	6771
779	7326	6762
780	7335	6752
781	7345	6744
782	7354	6734
783	7363	6724
784	7372	6715
785	7382	6706
786	7392	6697
787	7402	6688
788	7412	6679
789	7422	6670
790	7431	6661
791	7440	6651
792	7450	6642
793	7458	6632
794	7467	6622
795	7478	6613
796	7486	6603
797	7496	6595
798	7505	6585
799	7515	6576
800	7525	6567
801	7534	6557
802	7544	6548
803	7553	6538
804	7562	6528
805	7571	6519
806	7582	6510
807	7591	6501
808	7600	6492
809	7610	6483
810	7620	6474
811	7629	6464
812	7639	6455
813	7647	6445
814	7656	6435
815	7666	6426
816	7675	6416
817	7684	6406
818	7693	6397
819	7703	6388
820	7713	6379
821	7722	6369
822	7732	6360
823	7742	6351
824	7751	6341
825	7760	6332
